Subject ID,Trial,Expected Value,Outcomes
7,68,0.861746227,1
7,69,0.873339249,1
7,70,0.88365083,0
7,71,0.857565399,1
7,72,0.869753576,0
7,73,0.8445332,1
7,74,0.858195702,1
7,75,0.870269716,1
7,76,0.881002356,1
7,77,0.890589274,0
7,78,0.864234791,1
7,79,0.875841349,1
7,80,0.886145096,1
9,1,0.5,1
9,2,0.830187707,1
9,3,0.90910834,1
9,4,0.943904869,1
9,5,0.96258284,1
9,6,0.973749861,1
9,7,0.980910772,1
9,8,0.985736929,1
9,9,0.989113327,0
9,10,0.955116279,0
9,11,0.923219151,1
9,12,0.972366521,0
9,13,0.939330263,0
9,14,0.908321819,1
9,15,0.965575711,1
9,16,0.980294212,1
9,17,0.987114506,1
9,18,0.990949152,0
9,19,0.957023687,1
9,20,0.983526706,0
9,21,0.95003025,1
9,22,0.980506406,1
9,23,0.988593915,1
9,24,0.992424968,1
9,25,0.994615395,1
9,26,0.996003339,1
9,27,0.996942584,1
9,28,0.997608008,1
9,29,0.998095666,0
9,30,0.963918624,0
9,31,0.931848044,1
9,32,0.979017691,0
9,33,0.945855437,0
9,34,0.914725343,1
9,35,0.970587865,1
9,36,0.984265859,1
9,37,0.990295267,1
9,38,0.993520322,0
9,39,0.959551,1
9,40,0.985587101,0
9,41,0.952056524,1
9,42,0.982170892,0
9,43,0.948811662,1
9,44,0.980387432,1
9,45,0.988884805,0
9,46,0.955149759,0
9,47,0.923492461,1
9,48,0.973916277,1
9,49,0.985806612,1
9,50,0.991094048,0
9,51,0.957241107,1
9,52,0.98418027,0
9,53,0.950713049,1
9,54,0.981290432,1
9,55,0.989364994,1
9,56,0.993139375,1
9,57,0.995258918,0
9,58,0.961215065,1
9,59,0.98667303,1
9,60,0.992584936,1
9,61,0.995233585,1
9,62,0.996696413,0
9,63,0.962594798,1
9,64,0.987658483,1
9,65,0.993309194,0
9,66,0.959382769,0
9,67,0.927545663,1
9,68,0.976598023,1
9,69,0.987673955,1
9,70,0.992442787,0
9,71,0.958540572,1
9,72,0.985146596,0
9,73,0.951645822,1
9,74,0.982000247,1
9,75,0.989914838,1
9,76,0.993571697,1
9,77,0.995603191,0
9,78,0.961548889,1
9,79,0.986942037,1
9,80,0.992803811,1
9,81,0.9954132,1
9,82,0.996844942,0
9,83,0.962739298,1
9,84,0.987778876,1
9,85,0.993410125,0
9,86,0.959481112,1
9,87,0.986008804,1
9,88,0.992345314,0
9,89,0.958464687,0
9,90,0.926670471,1
9,91,0.976052396,1
9,92,0.987319036,1
9,93,0.992204719,0
9,94,0.958312895,1
9,95,0.98499031,1
9,96,0.991547126,1
9,97,0.99456572,0
9,98,0.5,0
9,99,0.960563138,1
9,100,0.986371965,1
9,101,0.992448729,1
9,102,0.995180472,0
9,103,0.96115268,1
9,104,0.986788152,1
9,105,0.99275039,0
9,106,0.958848985,1
9,107,0.985568138,1
9,108,0.992028047,0
9,109,0.958159665,0
9,110,0.926377054,1
9,111,0.975835385,1
9,112,0.987155366,1
9,113,0.992079282,0
9,114,0.958191848,1
9,115,0.984896217,1
9,116,0.991473141,1
9,117,0.994506964,0
9,118,0.960506311,1
