Subject,Code,,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time,Stimuli_Order,High_Reward_Chosen,High_Loss_Chosen
LN_VTA_1,trial_29_rew_10_f1_f2_acum_r3_l2_task_1_sess_2,,Picture,[8043.8299649],[0],1,1,0,1.855054697,f1_f2,1,
LN_VTA_1,trial_30_neu_9_f2_f1_acum_r3_l2_task_1_sess_2,,Picture,[8055.08314888],[0],3,2,0,0.654862623,f2_f1,,
LN_VTA_1,trial_31_los_12_f1_f2_acum_r3_l2_task_1_sess_2,,Picture,[8072.57872752],[0],2,1,-1,0.873998527,f1_f2,,1
LN_VTA_1,trial_32_rew_11_f2_f1_acum_r3_l3_task_1_sess_2,,Picture,[8082.5834353],[0],1,2,1,1.252628812,f2_f1,1,
LN_VTA_1,trial_33_neu_10_f2_f1_acum_r4_l3_task_1_sess_2,,Picture,[8093.85323278],[0],3,2,0,0.608136422,f2_f1,,
LN_VTA_1,trial_34_rew_12_f1_f2_acum_r4_l3_task_1_sess_2,,Picture,[8105.10638863],[0],1,2,0,1.422237034,f1_f2,0,
LN_VTA_1,trial_35_rew_13_f1_f2_acum_r4_l3_task_1_sess_2,,Picture,[8121.353569],[0],1,1,1,0.877428727,f1_f2,1,
LN_VTA_1,trial_36_los_13_f1_f2_acum_r5_l3_task_1_sess_2,,Picture,[8135.1203223],[0],2,1,-1,1.111872617,f1_f2,,1
LN_VTA_1,trial_37_neu_11_f1_f2_acum_r5_l4_task_1_sess_2,,Picture,[8150.13562667],[0],3,2,0,0.734213918,f1_f2,,
LN_VTA_1,trial_38_los_14_f2_f1_acum_r5_l4_task_1_sess_2,,Picture,[8161.40547737],[0],2,2,0,0.740815075,f2_f1,,1
LN_VTA_1,trial_39_los_15_f2_f1_acum_r5_l4_task_1_sess_2,,Picture,[8176.40412833],[0],2,1,-1,1.077059745,f2_f1,,0
LN_VTA_1,trial_40_los_16_f1_f2_acum_r5_l5_task_1_sess_2,,Picture,[8186.40879506],[0],2,2,0,1.087781398,f1_f2,,0
LN_VTA_1,trial_41_los_17_f1_f2_acum_r5_l5_task_1_sess_2,,Picture,[8197.66192391],[0],2,2,0,1.194334812,f1_f2,,0
LN_VTA_1,trial_42_rew_14_f2_f1_acum_r5_l5_task_1_sess_2,,Picture,[8207.64987184],[0],1,2,1,0.644723503,f2_f1,1,
LN_VTA_1,trial_43_neu_12_f2_f1_acum_r6_l5_task_1_sess_2,,Picture,[8220.16822307],[0],3,2,0,0.840956252,f2_f1,,
LN_VTA_1,trial_44_rew_15_f1_f2_acum_r6_l5_task_1_sess_2,,Picture,[8233.918364],[0],1,2,0,1.054571299,f1_f2,0,
LN_VTA_1,trial_45_neu_13_f2_f1_acum_r6_l5_task_1_sess_2,,Picture,[8246.43663729],[0],3,1,0,1.437746104,f2_f1,,
LN_VTA_1,trial_46_neu_14_f2_f1_acum_r6_l5_task_1_sess_2,,Picture,[8256.44134089],[0],3,2,0,1.006319108,f2_f1,,
LN_VTA_1,trial_47_neu_15_f2_f1_acum_r6_l5_task_1_sess_2,,Picture,[8267.69459215],[0],3,2,0,1.064952175,f2_f1,,
LN_VTA_1,trial_48_neu_16_f1_f2_acum_r6_l5_task_1_sess_2,,Picture,[8280.19615007],[0],3,1,0,0.934820703,f1_f2,,
LN_VTA_1,trial_49_los_18_f2_f1_acum_r6_l5_task_1_sess_2,,Picture,[8290.20080616],[0],2,1,0,1.127624773,f2_f1,,0
LN_VTA_1,trial_50_neu_17_f1_f2_acum_r6_l5_task_1_sess_2,,Picture,[8302.70243022],[0],3,2,0,0.652351933,f1_f2,,
LN_VTA_1,trial_51_rew_16_f2_f1_acum_r6_l5_task_1_sess_2,,Picture,[8318.94958778],[0],1,1,1,1.048205246,f2_f1,0,
LN_VTA_1,trial_52_neu_18_f2_f1_acum_r7_l5_task_1_sess_2,,Picture,[8331.46787742],[0],3,2,0,1.131762375,f2_f1,,
LN_VTA_1,trial_54_neu_19_f1_f2_acum_r7_l5_task_1_sess_2,,Picture,[8362.71370609],[0],3,2,0,0.837127877,f1_f2,,
LN_VTA_1,trial_55_rew_17_f2_f1_acum_r7_l5_task_1_sess_2,,Picture,[8372.71833176],[0],1,1,0,0.725628917,f2_f1,0,
LN_VTA_1,trial_56_rew_18_f1_f2_acum_r7_l5_task_1_sess_2,,Picture,[8382.72297226],[0],1,2,0,1.118581538,f1_f2,0,
LN_VTA_1,trial_57_rew_19_f2_f1_acum_r7_l5_task_1_sess_2,,Picture,[8397.72166237],[0],1,1,0,0.882857785,f2_f1,0,
LN_VTA_1,trial_58_rew_20_f1_f2_acum_r7_l5_task_1_sess_2,,Picture,[8411.48847877],[0],1,2,0,0.812253421,f1_f2,0,
LN_VTA_1,trial_59_neu_20_f2_f1_acum_r7_l5_task_1_sess_2,,Picture,[8421.49311356],[0],3,2,0,1.09554249,f2_f1,,
LN_VTA_1,trial_60_los_20_f2_f1_acum_r7_l5_task_1_sess_2,,Picture,[8432.74630324],[0],2,2,-1,0.928302603,f2_f1,,1
LN_VTA_1,trial_2_neu_1_f1_f2_acum_r0_l0_task_1_sess_3,,Picture,[8577.35592422],[0],3,2,0,0.681920676,f1_f2,,
LN_VTA_1,trial_3_los_2_f2_f1_acum_r0_l0_task_1_sess_3,,Picture,[8587.36056966],[0],2,2,-1,0.823503821,f2_f1,,1
LN_VTA_1,trial_4_neu_2_f2_f1_acum_r0_l1_task_1_sess_3,,Picture,[8597.3652132],[0],3,1,0,0.890870516,f2_f1,,
LN_VTA_1,trial_5_los_3_f1_f2_acum_r0_l1_task_1_sess_3,,Picture,[8608.61837361],[0],2,2,0,0.693197114,f1_f2,,0
LN_VTA_1,trial_6_los_4_f1_f2_acum_r0_l1_task_1_sess_3,,Picture,[8618.60639414],[0],2,1,0,0.823017078,f1_f2,,1
LN_VTA_1,trial_7_los_5_f2_f1_acum_r0_l1_task_1_sess_3,,Picture,[8632.37331773],[0],2,2,-1,0.868712014,f2_f1,,1
LN_VTA_1,trial_8_rew_1_f1_f2_acum_r0_l2_task_1_sess_3,,Picture,[8643.64301258],[0],1,2,1,1.072844218,f1_f2,0,
LN_VTA_1,trial_9_los_6_f2_f1_acum_r1_l2_task_1_sess_3,,Picture,[8653.63098788],[0],2,1,0,1.057437021,f2_f1,,0
